TEMPLATE ID,TEMPLATE NAME,TYPE,STATUS,TEMPLATE MESSAGE,CONSENT TYPE
'1507160985458388015',Emploee SMS,Service-Implicit,Active,"""The last date for submitting Investment proofs in Excelity Portal for the FY 2020-21 is 10/01/2021.
 Please refer Excelity mail for more info. Regards, Netmeds.""",Implicit
'1507160982289882571',kickstart2021,Service-Explicit,Active,Head to Netmeds and kickstart 2021 savings! 20% off on meds + 25% NMS SuperCash. Use code NMSHNY. MOV: Rs. 500. TCA. {#var#},Explicit
'1507160982285119926',NMSHNY,Service-Explicit,Active,Kickstart your 2021 savings! Use code NMSHNY for up to 45% off on meds + cashback up to Rs. 300 on Netmeds. TCA. Shop: http://nms-rx.com/CHECKOUT,Explicit
'1507160941990403917',NMSFIT Product Viewed,Service-Explicit,Active,Always the best price for you! Use code NMSFIT & get flat 20% off + 10% NMS SuperCash on Netmeds. TCA. Shop @ {#var#},Explicit
'1507160941986348589',NS30 Cart,Service-Explicit,Active,Let's make you and your cart happy! Flat 15% off on meds + 15% NMS SuperCash on Netmeds. Use code NMS30 at checkout. TCA. {#var#},Explicit
'1507160941972257014',NS30 Offer 2,Service-Explicit,Active,Always the best price for you! Use code NMS30 & get flat 15% off + 15% NMS SuperCash on Netmeds. TCA. Shop @ {#var#},Explicit
'1507160941961225495',NS30 Offer 1,Service-Explicit,Active,Like money? Use code NMS30 to get flat 15% off on meds + 15% NMS SuperCash on Netmeds. Min. Order: Rs. 750. TCA. Shop @ {#var#},Explicit
'1507160941955920169',NMS1ST Cart,Service-Explicit,Active,Only our favs get this offer! Get flat 18% off on meds + 15% NMS SuperCash on your first order on Netmeds. Use code NMS1ST at checkout. TCA. {#var#},Explicit
'1507160941943113127',NMSFIT Cart,Service-Explicit,Active,Your cart is waiting for you! Checkout and get flat 20% off on meds + 10% NMS SuperCash on Netmeds. Use code NMSFIT. TCA. {#var#},Explicit
'1507160941939337571',NMS Swasthya Jan 1,Service-Explicit,Active,"Healthy New Year 2021! Flat 65% off on Netmeds Swasthya (59 tests including Diabetes, Vitamins, Thyroid & more) for Rs.1099 only. http://nms-rx.com/OFF66",Explicit
'1507160921992089587',Dec 30 Cart,Service-Explicit,Active,Pause your show & head to Netmeds to get 20% off on meds + 20% NMS SuperCash. Code NMS2020 expires today. Min order: Rs. 500. TCA. {#var#},Explicit
'1507160921986961271',Dec 30 Offer,Service-Explicit,Active,2020 Savings Finale! Use code NMS2020 for up to 40% off on meds + cashback up to Rs. 300 on Netmeds. TCA. Shop: http://nms-rx.com/checkOUT,Explicit
'1507160889470125731',MObiDec,Service-Explicit,Active,Order meds & more and use 100% MobiKwik SuperCash* (Up to Rs. 75). No minimum order value. T&C Apply. {#var#},Explicit
'1507160872098772647',Aarogyam 80%,Service-Explicit,Active,The more the merrier! Book multiple Aarogyam (B/C/X/1.3) profiles and get up to 80% off extra discount on Netmeds. Shop @ http://nms-rx.com/BookNOW,Explicit
'1507160872092000663',Refill Supercash,Service-Explicit,Active,It's time for a refill and we got you! We've credited Rs. 200 NMS SuperCash (expires on {#var#}) to your Netmeds wallet. TCA. http://nms-rx.com/GET200,Explicit
'1507160863286833888',Rs.125 NMS Super cash -Ril,Service-Explicit,Active,Hurray! Rs. 125 NMS SuperCash (Valid for 60 days) has been credited to your Netmeds wallet. Use code RELIANCE for flat 20% off. TCA. {#var#},Explicit
'1507160861212768263',netmedsapp OTP,Transactional,Active,Enter Setup Code {#var#} in the Netmeds app. This code is valid only for {#var#} minutes. Please do not share this code with anyone.,--
'1507160827558962248',Flat 75 Fullbody check up1,Service-Explicit,Active,It's a good day to book a full-body checkup on Netmeds. Flat 75% off on Aarogyam B full body checkup @ Rs. 599 only. Book now @ https://nms-rx.com/FLAT75OFF,Explicit
'1507160818753636114',Flat 75 Fullbody check up,Service-Explicit,Active,Today's a good day to book a full-body checkup. Flat 75% off on Aarogyam B full body checkup @ Rs. 599 only. Book now @ https://nms-rx.com/FLAT75OFF,Explicit
'1507160802885380648',Rs.125 NMS Super cash,Service-Explicit,Active,Hurray! Rs. 125 NMS SuperCash (Valid for 30 days) has been credited to your Netmeds wallet. Use code RELIANCE for flat 20% off. TCA. {#var#},Explicit
'1507160767555130496',Diagnostics Dec 11,Service-Explicit,Active,Advanced care & Maximum savings on Netmeds. Get flat 70% off on Aarogyam 1.3 package. 90 tests only @ Rs. 1299. Book now @ https://nms-rx.com/Checkup,Explicit
'1507160760734517286',Rs.250 NMS,Service-Explicit,Active,Do you like REWARDS? We've added Rs. 250 NMS SuperCash to your Netmeds wallet. Expires on {#var#}. Claim @ https://nms-rx.com/RS250,Explicit
'1507160760727392963',Rs.125 NMS,Service-Explicit,Active,Do you like REWARDS? We've added Rs. 125 NMS SuperCash to your Netmeds wallet. Expires on {#var#}. Claim @ https://nms-rx.com/RS125,Explicit
'1507160750461947696',Cart Mobikwik Updated,Service-Explicit,Active,Checkout cart via MobiKwik & get 10% MobiKwik cashback up to Rs.150 on first MobiKwik transaction on Netmeds. Offer ends soon. TCA. {#var#},Explicit
'1507160743584366304',NMSWIN 3 DEC9,Service-Explicit,Active,How about a win-win-ter deal? Use code NMSWIN to save up to 40% on meds + earn MobiKwik Cashback (Max. Rs. 150) on Netmeds. TCA. https://nms-rx.com/OrderNOW,Explicit
'1507160742597443615',NMSWIN 2 DEC9,Service-Explicit,Active,How about a win-win-ter deal? Use code NMSWIN to save up to 40% on meds + earn MobiKwik SuperCash (Max. Rs. 150) on Netmeds. TCA. https://nms-rx.com/OrderNOW,Explicit
'1507160741008041720',NMSWIN Cart D9,Service-Explicit,Active,The winter winds brought 20% off on meds + 20% NMS SuperCash. Your code NMSWIN expires today. Min order: Rs. 500 on Netmeds. TCA. {#var#},Explicit
'1507160741004366015',NMSWIN DEC9,Service-Explicit,Active,Winter Winnings! Use code NMSWIN for up to 40% off on meds + cashback up to Rs. 300 on Netmeds. TCA. Shop: https://nms-rx.com/OrderNOW,Explicit
'1507160708327189631',Diag December4,Service-Explicit,Active,Cashback 'cuz we care! Book any pathology tests/packages above Rs. 1000 and get Rs. 75 NMS SuperCash. TCA. Book @ https://nms-rx.com/BookNOW,Explicit
'1507160673583507151',Payment Partner 2 Dec,Service-Explicit,Active,Come back? :( Complete your Netmeds order & Pay via select payment partners & earn max. Rs.400 cashback. Shop Now *T&C apply. {#var#},Explicit
'1507160673580235349',Payment Partner 1 Dec,Service-Explicit,Active,Winter Winnings: Order on Netmeds & get flat 10% Amazon Pay cashback up to Rs. 400 + up to 40% off. Min. order: Rs. 750. TCA. Shop: {#var#},Explicit
'1507160673573666143',NMSWIN Cart,Service-Explicit,Active,The winter winds brought 20% off on meds + 20% NMS SuperCash. Your code NMSWIN expires today. Min order: Rs. 750 on Netmeds. TCA. {#var#},Explicit
'1507160673565106864',NMSWIN DEC1,Service-Explicit,Active,Winter Winnings! Use code NMSWIN for up to 40% off on meds + flat 10% Amazon Pay cashback (Max. Rs. 400) on Netmeds. TCA. Shop: {#var#},Explicit
'1507160673555973540',NMSWIN DEC,Service-Explicit,Active,Winter Winnings! Use code NMSWIN for up to 40% off on meds + flat 10% Amazon Pay cashback (Max. Rs. 400) on Netmeds. TCA. Shop: https://nms-rx.com/CheckOut,Explicit
'1507160647930136177',NMSDEALRNP,Service-Explicit,Active,Let's make a deal? You use the code NMSDEAL & we give you 20% off on meds + 20% NMS SuperCash. MOV: Rs. 750 on Netmeds. TCA. Shop: https://nms-rx.com/orderNOW,Explicit
'1507160639821351962',Weekendspecial,Service-Explicit,Active,#WeekendSpecials : Get Netmeds special packages & COVID Antibody tests starting at Rs. 399 T&C Apply. Book @ https://nms-rx.com/BOOKNOW,Explicit
'1507160639816650870',Rs75 November,Service-Explicit,Active,"Your account has been credited with Rs. 75. Use it to order meds & more on Netmeds. Expires tonight. Quick, order now! T&C https://nms-rx.com/OrderNow",Explicit
'1507160628414957481',Emp Cyclone SMS 2,Service-Implicit,Active,Employees are advised to work from home today 25th Nov due to the cyclone. Take care & stay safe - Netmeds.,Implicit
'1507160623657357502',Free Zee5,Service-Explicit,Active,IMPORTANT: Your FREE ZEE5 6 months voucher code {#var#} from Netmeds expires on {#var#}. Activate ZEE5 subscription.,Explicit
'1507160623652937727',Pricedrop ATC,Service-Explicit,Active,Use code : PRICEDROP20 & get FLAT 20% off on Netmeds.  Checkout with your cart now! * TCA. {#var#},Explicit
'1507160623647185817',Emp Cyclone SMS,Service-Implicit,Active,Employees are advised to work from home tomorrow 25th Nov due to the cyclone. Warehouse employees may report to the warehouse depending on the weather condition,Implicit
'1507160620031013933',Wednesday 25 Nov,Service-Explicit,Active,Always the best price for you! Use code NMSSUPER30 & get flat 15% off + 15% NMS SuperCash on Netmeds. TCA. Shop @ {#var#},Explicit
'1507160620016785215',Myntra nms 3,Service-Explicit,Active,Your Myntra voucher code from Netmeds is {#var#}. Shop for min. Rs. 999 from select styles to get flat 10% off up to Rs. 500. TCA.,Explicit
'1507160620010809168',Myntra nms 2,Service-Explicit,Active,Your Myntra voucher code from Netmeds is {#var#}. Shop for min. Rs. 999 from select styles to get flat 10% off up to Rs. 500. TCA. {#var#},Explicit
'1507160620002973514',Myntra NMS,Service-Explicit,Active,YAYYY! Your flat 10% off Myntra voucher code from Netmeds is {#var#}. Order for Rs. 999 or above from select styles. TCA. {#var#},Explicit
'1507160584924422109',Arogyam-Nov20,Service-Explicit,Active,Get Flat 50% off on Aarogyam full body checkup packages ~ starting at Rs. 599. Book now on Netmeds @ https://nms-rx.com/BODYCHECKUP,Explicit
'1507160560404418654',GoodHwealthDay Cart,Service-Explicit,Active,Check out with your cart to get flat 20% off on meds + 20% NMS SuperCash. Use NMSDEAL on Netmeds. Min order: Rs. 750. T&C* {#var#},Explicit
'1507160560399051075',#GoodHwealthDay:2,Service-Explicit,Active,#GoodHwealthDay: Use NMSDEAL for 20% off on meds + 20% NMS SuperCash on Netmeds. T&C* Shop now @ https://nms-rx.com/CHECKOUT,Explicit
'1507160560395476825',GoodHwealthDay,Service-Explicit,Active,#GoodHwealthDay: Use NMSDEAL for 20% off on meds + 20% NMS SuperCash & cashback from payment partners on Netmeds. T&C* @ https://nms-rx.com/CHECKOUT,Explicit
'1507160525068128341',NMSWDD,Service-Explicit,Active,Stand Strong Against Sugar! Use code NMSWDD to get 20% off on diabetes meds + 10% NMS SuperCash on Netmeds. MOV: Rs. 750. TCA. Shop: https://nms-rx.com/ORDER,Explicit
'1507160518434216257',Sweettestday,Service-Explicit,Active,The Sweet-Test Sale on #WorldDiabetesDay. Get up to 80% off on all diabetes tests starting from Rs. 350 only on Netmeds. Book @ https://nms-rx.com/CHECKUP,Explicit
'1507160518431138193',Diagnov13,Service-Explicit,Active,"Get Flat 66% off on Netmeds Swasthya @ Rs. 1099. Full body checkup including Diabetes, Vitamins, Thyroid, Iron Deficiency & more. Book @ https://nms-rx.com/N13",Explicit
'1507160499969840384',NMSDIWALI,Service-Explicit,Active,Shubh Deal-wali Sale at Netmeds. Use NMSDIWALI for flat 20% off + 20% NMS SuperCash + 10% MobiKwik SuperCash. MOV: Rs. 750. TCA. https://nms-rx.com/ORDERNOW,Explicit
'1507160499963391043',Deal-wali,Service-Explicit,Active,Order meds at Netmeds Shubh Deal-wali Sale to get flat 20% off on meds + 20% NMS SuperCash. Use NMSDIWALI. Min order: Rs. 750. TCA. {#var#},Explicit
'1507160464472421309',Zee5 Reminder,Service-Explicit,Active,IMPORTANT: Your FREE ZEE5 6 months voucher code {#var#} from Netmeds expires on {#var#}. Activate ZEE5 subscription @ {#var#},Explicit
'1507160464469106469',Aarogyam XNov,Service-Explicit,Active,Go the Xtra Mile with Aarogyam X! Full body checkup (129 tests) @ Flat 60% off for Rs.2399 only on Netmeds. Book now @ http://nms-rx.com/CHECKUP,Explicit
'1507160432532459127',T20DayNov,Service-Explicit,Active,Netmeds T20 Day: Use NMST20 for 20% off on meds + 20% NMS SuperCash + Cashback. MOV: Rs. 750. TCA. Shop @ {#var#},Explicit
'1507160432526194128',NMSUPER30nov1,Service-Explicit,Active,Become a Netmeds savings superstar! Use code NMSSUPER30 to get flat 15% off + 15% NMS SuperCash on orders over Rs. 1250 TCA. Shop: {#var#},Explicit
'1507160432517470226',Zee5Nov,Service-Explicit,Active,"Congratulations, YOU WON! Your FREE ZEE5 6 months voucher code XXXXXXXXXX from Netmeds expires on 16/11/2020. Activate ZEE5 subscription @ {#var#}",Explicit
'1507160432512597916',RefillNov,Service-Explicit,Active,Don't miss even one dose! Refill your medicines on Netmeds today and get FLAT 20% off.* Refill now! T&C http://nms-rx.com/REFILL,Explicit
'1507160406983971607',payment_link_m2_3,Service-Implicit,Active,Hi! Your Netmeds order {#var#} is expiring soon! Click here to modify/pay: {#var#}. Reach us at 7200712345 or cs@netmeds.com,Implicit
'1507160406980798358',payment_link_m2_2,Service-Implicit,Active,Hi! Your Netmeds order is {#var#} waiting to be processed! Click here to modify/pay: {#var#}.  Reach us at 7200712345 or cs@netmeds.com,Implicit
'1507160406977438588',supercash_expiry_1,Service-Implicit,Active,"Hurry, SuperCash is Expiring!
Your Netmeds SuperCash of INR {#var#} will expire today. 
Shop now to get upto 25% discount on your medicines without any coupon.
https://www.netmeds.com/home",Implicit
'1507160406972260881',supercash_expiry_3,Service-Implicit,Active,"SuperCash is Calling!
Your Netmeds SuperCash of INR {#var#} will expire in 3 days. 
Shop now to get upto 25% discount on your medicines without any coupon.
https://www.netmeds.com/home",Implicit
'1507160406967993469',supercash_expiry_10,Service-Implicit,Active,"SuperCash is Calling!
Your Netmeds SuperCash of INR {#var#} will expire on {#var#}. 
Shop now to get upto 25% discount on your medicines without any coupon. 
https://www.netmeds.com/home",Implicit
'1507160406964037123',cash_expiry_10,Service-Implicit,Active,"Cash is Calling!
Hi! Your Netmeds Cash of INR {#var#} will expire on {#var#}. 
Apply your NMS Cash to get upto 100% INSTANT DISCOUNT on top of all offers! 
https://www.netmeds.com/home",Implicit
