circle,coupon,id,missedcalldate,msisdn,operator,vmn
Delhi,57629097,,2021-03-15 10:01:10,575315480de721523a3860786f023e87,Reliance,7303658515
Delhi,57609052,,2021-03-15 10:07:19,cee2435f49fa85305077489311c66f56,Reliance,7303658515
Delhi,57614839,,2021-03-15 10:08:11,857fcb6edc7ecd4bd49a2fed48ee80c6,AIRTEL,7303658515
Delhi,64224014,,2021-03-15 10:13:35,e9052b9dd43936a24a38cae933fc7be6,VODAFONE,9008866666
Gujarat,,,2021-03-15 10:18:19,a4fd8d6c35692ac5c621150e5dd8ba25,VODAFONE,9008866666
Delhi,57594001,,2021-03-15 10:40:37,f683f0aea4d917a2dcccbcb4ae3e5197,Reliance,7303658515
Delhi,,,2021-03-15 10:40:49,f683f0aea4d917a2dcccbcb4ae3e5197,Reliance,7303658515
Delhi,,,2021-03-15 10:47:06,7705468b525d3366d87bfe404efe0b3f,VODAFONE,7303658515
AP,64226250,,2021-03-15 10:49:23,3420aa20447a7159876062a8b5a301cc,BSNL,9008866666
Maharashtra,,,2021-03-15 10:56:58,3e155e0e0a7752957b34e4cbc0499d59,RELIANCE,9008866666
Gujarat,64222005,,2021-03-15 10:58:27,3c927ca83c4ebacc52a6c794a62f4aa9,Idea,9008866666
Delhi,,,2021-03-15 10:59:47,b292494a611d407891954728d01dcbd2,RELIANCE,7303658515
Delhi,57598150,,2021-03-15 11:04:29,4ba8d52ee91e1fb226aac01d795615ce,AIRTEL,7303658515
Delhi,64227342,,2021-03-15 11:05:41,4e52a98cbb3582e495a3746aaf869869,AIRTEL,9008866666
Delhi,64218072,,2021-03-15 11:06:38,05c5b2b86c9f9ac1aa4d72d4fd41327b,RELIANCE,9008866666
UP-W,64219427,,2021-03-15 11:08:09,71c907d92e3510e1d4bd726a2f3a7829,Idea,9008866666
Delhi,64216670,,2021-03-15 11:09:07,ce650ce8116a0935855f2b113c0c4803,VODAFONE,9008866666
DELHI,64224116,,2021-03-15 11:09:54,0bbb13dd7a47aa5c5e69cca24897036e,RELIANCE,9008866666
DELHI,57578937,,2021-03-15 11:10:28,45345ff7487b869435106e04b1947ad9,RELIANCE,7303658515
Delhi,57608725,,2021-03-15 11:11:51,b2aa84a329bffdd59b1e23707c1382d4,Idea,7303658515
Delhi,64227123,,2021-03-15 11:11:57,13c9d621c83223c9e35c9a11ab2cb4f6,Reliance,9008866666
Punjab,64221464,,2021-03-15 11:13:07,41f0b515dcbbe0de58cd2108428eac5a,HFCL,9008866666
Punjab,,,2021-03-15 11:14:12,41f0b515dcbbe0de58cd2108428eac5a,HFCL,9008866666
Maharashtra,57638176,,2021-03-15 11:19:04,00f810799b8aa88fac2909820fb337ad,IDEA,7303658515
KOLKATA,64220990,,2021-03-15 11:19:19,d4794486d6d7de399b00b886eefbfd52,AIRTEL,9008866666
Maharashtra,,,2021-03-15 11:19:47,00f810799b8aa88fac2909820fb337ad,IDEA,7303658515
Delhi,,,2021-03-15 11:20:45,8d1c39a4c7d51b3a8604bb52d70e4f8f,RELIANCE,7303658515
Delhi,57631884,,2021-03-15 11:22:32,a6cf6d5f50d70883d893264830163e11,Reliance,7303658515
Haryana,64213985,,2021-03-15 11:24:44,fcda956617fc6d0c0e769b7403d4b4c6,RELIANCE,9008866666
